Training Log for attention_cnn
Started at: 2025-10-02 06:11:17
Max Epochs: 300 | Patience: 50
================================================================================

Epoch [ 45/300] | Train Loss: 1.2990 | Train Acc: 96.02% | Val Loss: 1.0683 | Val Acc: 99.89% | LR: 0.001000
Epoch [ 46/300] | Train Loss: 1.2202 | Train Acc: 97.98% | Val Loss: 1.0346 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 47/300] | Train Loss: 1.1991 | Train Acc: 98.51% | Val Loss: 1.0284 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 48/300] | Train Loss: 1.1967 | Train Acc: 98.58% | Val Loss: 1.0230 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 49/300] | Train Loss: 1.1903 | Train Acc: 98.61% | Val Loss: 1.0175 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 50/300] | Train Loss: 1.1924 | Train Acc: 98.58% | Val Loss: 1.0130 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 51/300] | Train Loss: 1.1881 | Train Acc: 98.57% | Val Loss: 1.0172 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 52/300] | Train Loss: 1.1862 | Train Acc: 98.68% | Val Loss: 1.0129 | Val Acc: 99.98% | LR: 0.000300
Epoch [ 53/300] | Train Loss: 1.1876 | Train Acc: 98.66% | Val Loss: 1.0161 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 54/300] | Train Loss: 1.1840 | Train Acc: 98.52% | Val Loss: 1.0189 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 55/300] | Train Loss: 1.1833 | Train Acc: 98.71% | Val Loss: 1.0116 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 56/300] | Train Loss: 1.1840 | Train Acc: 98.78% | Val Loss: 1.0195 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 57/300] | Train Loss: 1.1829 | Train Acc: 98.75% | Val Loss: 1.0106 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 58/300] | Train Loss: 1.1574 | Train Acc: 99.12% | Val Loss: 1.0078 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 59/300] | Train Loss: 1.1494 | Train Acc: 99.26% | Val Loss: 1.0042 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 60/300] | Train Loss: 1.1442 | Train Acc: 99.39% | Val Loss: 1.0062 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 61/300] | Train Loss: 1.1454 | Train Acc: 99.30% | Val Loss: 1.0032 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 62/300] | Train Loss: 1.1432 | Train Acc: 99.29% | Val Loss: 1.0027 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 63/300] | Train Loss: 1.1426 | Train Acc: 99.39% | Val Loss: 0.9993 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 64/300] | Train Loss: 1.1418 | Train Acc: 99.35% | Val Loss: 1.0023 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 65/300] | Train Loss: 1.1402 | Train Acc: 99.37% | Val Loss: 0.9991 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 66/300] | Train Loss: 1.1398 | Train Acc: 99.33% | Val Loss: 0.9975 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 67/300] | Train Loss: 1.1379 | Train Acc: 99.34% | Val Loss: 0.9944 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 68/300] | Train Loss: 1.1395 | Train Acc: 99.37% | Val Loss: 0.9970 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 69/300] | Train Loss: 1.1343 | Train Acc: 99.45% | Val Loss: 1.0014 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 70/300] | Train Loss: 1.1317 | Train Acc: 99.46% | Val Loss: 0.9942 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 71/300] | Train Loss: 1.1319 | Train Acc: 99.44% | Val Loss: 0.9977 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 72/300] | Train Loss: 1.1290 | Train Acc: 99.47% | Val Loss: 0.9978 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 73/300] | Train Loss: 1.1294 | Train Acc: 99.51% | Val Loss: 0.9915 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 74/300] | Train Loss: 1.1280 | Train Acc: 99.44% | Val Loss: 0.9919 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 75/300] | Train Loss: 1.1265 | Train Acc: 99.49% | Val Loss: 0.9913 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 76/300] | Train Loss: 1.1271 | Train Acc: 99.51% | Val Loss: 0.9931 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 77/300] | Train Loss: 1.1274 | Train Acc: 99.50% | Val Loss: 0.9918 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 78/300] | Train Loss: 1.1277 | Train Acc: 99.51% | Val Loss: 0.9898 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 79/300] | Train Loss: 1.1231 | Train Acc: 99.53% | Val Loss: 0.9891 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 80/300] | Train Loss: 1.1241 | Train Acc: 99.54% | Val Loss: 0.9931 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 81/300] | Train Loss: 1.1205 | Train Acc: 99.61% | Val Loss: 0.9905 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 82/300] | Train Loss: 1.1202 | Train Acc: 99.54% | Val Loss: 0.9914 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 83/300] | Train Loss: 1.1219 | Train Acc: 99.53% | Val Loss: 0.9914 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 84/300] | Train Loss: 1.1233 | Train Acc: 99.51% | Val Loss: 0.9905 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 85/300] | Train Loss: 1.1211 | Train Acc: 99.58% | Val Loss: 0.9925 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 86/300] | Train Loss: 1.1216 | Train Acc: 99.56% | Val Loss: 0.9930 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 87/300] | Train Loss: 1.1211 | Train Acc: 99.54% | Val Loss: 0.9900 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 88/300] | Train Loss: 1.1200 | Train Acc: 99.55% | Val Loss: 0.9866 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 89/300] | Train Loss: 1.1224 | Train Acc: 99.50% | Val Loss: 0.9890 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 90/300] | Train Loss: 1.1204 | Train Acc: 99.56% | Val Loss: 0.9886 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 91/300] | Train Loss: 1.1208 | Train Acc: 99.56% | Val Loss: 0.9909 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 92/300] | Train Loss: 1.1226 | Train Acc: 99.51% | Val Loss: 0.9899 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 93/300] | Train Loss: 1.1210 | Train Acc: 99.64% | Val Loss: 0.9902 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 94/300] | Train Loss: 1.1210 | Train Acc: 99.55% | Val Loss: 0.9928 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 95/300] | Train Loss: 1.1194 | Train Acc: 99.60% | Val Loss: 0.9868 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 96/300] | Train Loss: 1.1196 | Train Acc: 99.59% | Val Loss: 0.9921 | Val Acc: 100.00% | LR: 0.000002

================================================================================
Training completed at: 2025-10-02 11:40:06
Total time: 328.81 minutes
Best Val Accuracy: 100.00%
Total Epochs: 96
================================================================================
