Training Log for resnet50
Started at: 2025-10-02 01:29:36
Max Epochs: 300 | Patience: 50
================================================================================

Epoch [ 45/300] | Train Loss: 0.9585 | Train Acc: 99.98% | Val Loss: 0.9431 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 46/300] | Train Loss: 0.9580 | Train Acc: 99.97% | Val Loss: 0.9443 | Val Acc: 99.98% | LR: 0.000300
Epoch [ 47/300] | Train Loss: 0.9588 | Train Acc: 99.97% | Val Loss: 0.9465 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 48/300] | Train Loss: 0.9610 | Train Acc: 99.95% | Val Loss: 0.9492 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 49/300] | Train Loss: 0.9629 | Train Acc: 99.95% | Val Loss: 0.9451 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 50/300] | Train Loss: 0.9641 | Train Acc: 99.93% | Val Loss: 0.9491 | Val Acc: 99.98% | LR: 0.000300
Epoch [ 51/300] | Train Loss: 0.9622 | Train Acc: 99.94% | Val Loss: 0.9444 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 52/300] | Train Loss: 0.9640 | Train Acc: 99.94% | Val Loss: 0.9464 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 53/300] | Train Loss: 0.9635 | Train Acc: 99.94% | Val Loss: 0.9471 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 54/300] | Train Loss: 0.9612 | Train Acc: 99.93% | Val Loss: 0.9484 | Val Acc: 99.98% | LR: 0.000300
Epoch [ 55/300] | Train Loss: 0.9610 | Train Acc: 99.94% | Val Loss: 0.9475 | Val Acc: 100.00% | LR: 0.000300
Epoch [ 56/300] | Train Loss: 0.9433 | Train Acc: 99.97% | Val Loss: 0.9338 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 57/300] | Train Loss: 0.9386 | Train Acc: 100.00% | Val Loss: 0.9307 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 58/300] | Train Loss: 0.9393 | Train Acc: 99.99% | Val Loss: 0.9293 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 59/300] | Train Loss: 0.9387 | Train Acc: 99.99% | Val Loss: 0.9297 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 60/300] | Train Loss: 0.9391 | Train Acc: 99.98% | Val Loss: 0.9301 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 61/300] | Train Loss: 0.9382 | Train Acc: 99.99% | Val Loss: 0.9286 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 62/300] | Train Loss: 0.9372 | Train Acc: 99.98% | Val Loss: 0.9292 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 63/300] | Train Loss: 0.9374 | Train Acc: 99.99% | Val Loss: 0.9299 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 64/300] | Train Loss: 0.9373 | Train Acc: 100.00% | Val Loss: 0.9292 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 65/300] | Train Loss: 0.9378 | Train Acc: 99.99% | Val Loss: 0.9276 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 66/300] | Train Loss: 0.9371 | Train Acc: 99.98% | Val Loss: 0.9283 | Val Acc: 100.00% | LR: 0.000090
Epoch [ 67/300] | Train Loss: 0.9326 | Train Acc: 100.00% | Val Loss: 0.9241 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 68/300] | Train Loss: 0.9308 | Train Acc: 100.00% | Val Loss: 0.9237 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 69/300] | Train Loss: 0.9304 | Train Acc: 100.00% | Val Loss: 0.9240 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 70/300] | Train Loss: 0.9305 | Train Acc: 99.99% | Val Loss: 0.9233 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 71/300] | Train Loss: 0.9296 | Train Acc: 99.99% | Val Loss: 0.9233 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 72/300] | Train Loss: 0.9300 | Train Acc: 100.00% | Val Loss: 0.9233 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 73/300] | Train Loss: 0.9296 | Train Acc: 100.00% | Val Loss: 0.9223 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 74/300] | Train Loss: 0.9298 | Train Acc: 99.99% | Val Loss: 0.9229 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 75/300] | Train Loss: 0.9296 | Train Acc: 100.00% | Val Loss: 0.9238 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 76/300] | Train Loss: 0.9290 | Train Acc: 100.00% | Val Loss: 0.9245 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 77/300] | Train Loss: 0.9294 | Train Acc: 100.00% | Val Loss: 0.9248 | Val Acc: 100.00% | LR: 0.000027
Epoch [ 78/300] | Train Loss: 0.9282 | Train Acc: 100.00% | Val Loss: 0.9244 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 79/300] | Train Loss: 0.9271 | Train Acc: 100.00% | Val Loss: 0.9226 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 80/300] | Train Loss: 0.9275 | Train Acc: 100.00% | Val Loss: 0.9212 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 81/300] | Train Loss: 0.9277 | Train Acc: 100.00% | Val Loss: 0.9213 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 82/300] | Train Loss: 0.9274 | Train Acc: 100.00% | Val Loss: 0.9206 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 83/300] | Train Loss: 0.9273 | Train Acc: 100.00% | Val Loss: 0.9211 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 84/300] | Train Loss: 0.9278 | Train Acc: 99.99% | Val Loss: 0.9212 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 85/300] | Train Loss: 0.9273 | Train Acc: 99.99% | Val Loss: 0.9202 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 86/300] | Train Loss: 0.9267 | Train Acc: 100.00% | Val Loss: 0.9216 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 87/300] | Train Loss: 0.9270 | Train Acc: 100.00% | Val Loss: 0.9206 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 88/300] | Train Loss: 0.9266 | Train Acc: 100.00% | Val Loss: 0.9218 | Val Acc: 100.00% | LR: 0.000008
Epoch [ 89/300] | Train Loss: 0.9266 | Train Acc: 100.00% | Val Loss: 0.9211 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 90/300] | Train Loss: 0.9268 | Train Acc: 100.00% | Val Loss: 0.9210 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 91/300] | Train Loss: 0.9263 | Train Acc: 100.00% | Val Loss: 0.9217 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 92/300] | Train Loss: 0.9263 | Train Acc: 100.00% | Val Loss: 0.9216 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 93/300] | Train Loss: 0.9262 | Train Acc: 100.00% | Val Loss: 0.9210 | Val Acc: 100.00% | LR: 0.000002
Epoch [ 94/300] | Train Loss: 0.9262 | Train Acc: 100.00% | Val Loss: 0.9206 | Val Acc: 100.00% | LR: 0.000002

================================================================================
Training completed at: 2025-10-02 06:11:06
Total time: 281.50 minutes
Best Val Accuracy: 100.00%
Total Epochs: 94
================================================================================
