,training_time,best_val_accuracy,test_accuracy,test_precision,test_recall,test_f1,inference_time,model_size_mb,total_epochs,early_stopped,best_epoch
Vanilla CNN,13483.266507863998,100.0,100.0,100.0,100.0,100.0,8.450404644012451,26.79193878173828,103,True,53
ResNet50,16889.841752767563,100.0,100.0,100.0,100.0,100.0,11.629046440124512,92.17706298828125,94,True,44
Attention CNN,19728.403415441513,100.0,100.0,100.0,100.0,100.0,12.949872732162476,5.594196319580078,96,True,46
AdaBoost,67.02763247489929,0,21.40154927040173,4.580263111734328,21.40154927040173,7.545641944869344,1.132129430770874,1.891505241394043,200,False,200
